분류,제품번호,제품명,규격,적재패턴,박스단위,파렛트단위,포장,박스규격(mm),,,"박스무게
 (kg)",적재 방향 제한,"파손
 취약성"
,,,,,,,,가로,세로,높이,,,
과일음료,73352,낱개입_팁코ABC주스(1L),1000ML,16박스*7단=112박스,12,1344,BOX,280,235,255,13.6,변경 불가,취약
과일음료,73350,낱개입_팁코쇼군오렌지(1L),1000ML,16박스*7단=112박스,12,1344,BOX,280,235,255,13.6,변경 불가,취약
과일음료,73346,팁코ABC주스(110ml),110ML,13박스*18단=234박스,36,8424,BOX,345,215,105,4.8,변경 불가,취약
과일음료,73341,팁코믹스베지&후르츠(110ml),110ML,13박스*18단=234박스,36,8424,BOX,345,215,105,4.8,변경 불가,취약
과일음료,73347,팁코브로콜리(110ml),110ML,13박스*18단=234박스,36,8424,BOX,345,215,105,4.8,변경 불가,취약
과일음료,73339,팁코쇼군오렌지(110ml),110ML,13박스*18단=234박스,36,8424,BOX,345,215,105,4.8,변경 불가,취약
과일음료,73340,팁코애플&그레이프(110ml),110ML,13박스*18단=234박스,36,8424,BOX,345,215,105,4.8,변경 불가,취약
과일음료,73353,낱개입_팁코브로콜리(1L),1L,16박스*7단=112박스,12,1344,BOX,280,235,255,13.6,변경 불가,취약
과일음료,73351,낱개입_팁코코코넛워터혼합주스(1L),1L,16박스*7단=112박스,12,1344,BOX,280,235,255,13.6,변경 불가,취약
과일음료,73345,팁코ABC주스(1L),1L,16박스*7단=112박스,12,1344,BOX,280,235,255,13.6,변경 불가,취약
과일음료,73113,팁코브로콜리(1L),1L,16박스*7단=112박스,12,1344,BOX,280,235,255,13.6,변경 불가,취약
과일음료,73110,팁코쇼군오렌지(1L),1L,16박스*7단=112박스,12,1344,BOX,280,235,255,13.6,변경 불가,취약
과일음료,73334,팁코코코넛워터혼합주스(1L),1L,16박스*7단=112박스,12,1344,BOX,280,235,255,13.6,변경 불가,취약
과일음료,73344,팁코ABC주스(200ml),200ML,18박스*14단=252박스,24,6048,BOX,320,185,140,5.6,변경 불가,취약
과일음료,73115,팁코브로콜리(200ml),200ML,18박스*14단=252박스,24,6048,BOX,320,185,140,5.6,변경 불가,취약
과일음료,73112,팁코쇼군오렌지(200ml),200ML,18박스*14단=252박스,24,6048,BOX,320,185,140,5.6,변경 불가,취약
과일음료,73354,팁코코코넛워터주스200ml_외박스,200ML,18박스*14단=252박스,24,6048,BOX,320,185,140,5.6,변경 불가,취약
과일음료,73333,팁코코코넛워터혼합주스200ml,200ML,18박스*14단=252박스,24,6048,BOX,320,185,140,5.6,변경 불가,취약
과일음료,73114,팁코브로콜리(500ml),500ML,16박스*13단=208박스,12,2496,BOX,260,240,150,6.8,변경 불가,취약
과일음료,73111,팁코쇼군오렌지(500ml),500ML,16박스*13단=208박스,12,2496,BOX,260,240,150,6.8,변경 불가,취약
비타민음료,70219,(특판용)광동비타500신병,100ML,10박스*4단=40박스,100,4000,BOX,480,240,295,24,변경 불가,보통
비타민음료,71049,ZERO 비타500 A.C.E,100ML,10박스*4단=40박스,100,4000,BOX,500,250,270,24.04,변경 불가,보통
비타민음료,71301,광동 비타500 ZERO,100ML,10박스*4단=40박스,100,4000,BOX,480,240,295,24,변경 불가,보통
비타민음료,71320,광동 비타500 ZERO (블랙),100ML,10박스*4단=40박스,100,4000,BOX,480,240,295,24,변경 불가,보통
비타민음료,71321,광동 비타500 ZERO (블랙)_50입,100ML,10박스*8단=80박스,50,4000,BOX,484,242.5,152,24,변경 불가,보통
비타민음료,71315,광동 비타500 ZERO(잔망루피),100ML,10박스*8단=80박스,50,4000,BOX,475,234.5,150,11.75,변경 불가,보통
비타민음료,71323,광동 비타500 허니로열(곰돌이 푸) 50입,100ML,10박스*8단=80박스,50,4000,BOX,467,233,147,11.75,변경 불가,보통
비타민음료,71055,광동비타500ACE,100ML,10박스*4단=40박스,100,4000,BOX,480,240,295,24,변경 불가,보통
비타민음료,71053,광동비타500ACE(20입자동화),100ML,10박스*4단=40박스,100,4000,BOX,500,250,270,24.04,변경 불가,보통
비타민음료,71054,광동비타500골드(20입자동화),100ML,10박스*4단=40박스,100,4000,BOX,500,250,270,24.04,변경 불가,보통
비타민음료,70741,광동비타500오리지널,100ML,10박스*4단=40박스,100,4000,BOX,480,240,295,24,변경 불가,보통
비타민음료,70748,광동비타500오리지널(20입),100ML,10박스*4단=40박스,100,4000,BOX,2320,970,2580,24,변경 불가,보통
비타민음료,71347,광동비타500오리지널(무라벨),100ML,10박스*4단=40박스,100,4000,BOX,480,240,295,24,변경 불가,보통
비타민음료,70661,광동비타500칼슘(20입),100ML,10박스*4단=40박스,100,4000,BOX,480,240,295,24,변경 불가,보통
비타민음료,71300,비타500 콜라겐 잔망루피(50입),100ML,10박스*8단=80박스,50,4000,BOX,475,234.5,150,11.75,변경 불가,보통
비타민음료,71316,비타500 콜라겐(리뉴얼),100ML,10박스*4단=40박스,100,4000,BOX,480,240,295,24,변경 불가,보통
비타민음료,70798,비타500Fresh,100ML,10박스*4단=40박스,100,4000,BOX,480,240,295,24,변경 불가,보통
비타민음료,70903,비타500Fresh_온라인(50입),100ML,8박스*10단=80박스,50,4000,BOX,480,240,140,12,변경 불가,보통
비타민음료,70896,비타500광도르방(50입),100ML,8박스*10단=80박,50,4000,BOX,470,240,150,12.5,변경 불가,보통
비타민음료,70898,비타500오리지널_온라인(50입),100ML,8박스*10단=80박스,50,4000,BOX,480,240,140,12,변경 불가,보통
비타민음료,70904,비타500칼슘_온라인(50입),100ML,10박스*8단=80박스,50,4000,BOX,480,240,140,12,변경 불가,보통
비타민음료,71056,"비타민D 1,000IU(DTC用)",100ML,10박스*4단=40박스,100,4000,BOX,480,240,295,24,변경 불가,보통
비타민음료,70888,"비타민D 1,000IU(비타500)",100ML,10박스*4단=40박스,100,4000,BOX,480,240,295,24,변경 불가,보통
비타민음료,71044,비타500로열(DTC),120ML,10박스*4단=40박스,100,4000,BOX,480,240,295,12,변경 불가,보통
비타민음료,70707,비타500로열폴리스,120ML,8박스*10단=80박스,50,4000,BOX,470,240,150,24.6,변경 불가,보통
비타민음료,71327,비타500 ZERO 스파클링(병탄산) 150ml (50입),150ML,8박스*7단=56박스,50,2800,BOX,522,260,165,15.6,변경 불가,보통
비타민음료,71313,비타500 라임 170ml (24입/PET),170ML,16박스*11단=176박스,24,4224,BOX,329,218,129,5,최상단 변경 가능,보통
비타민음료,71335,비타500 라임 170ml (24입/PET)디즈니,170ML,16박스*11단=176박스,24,4224,BOX,329,218,129,5,최상단 변경 가능,보통
비타민음료,71314,비타500 자몽 170ml (24입/PET),170ML,16박스*11단=176박스,24,4224,BOX,329,218,129,5,최상단 변경 가능,보통
비타민음료,71336,비타500 자몽 170ml (24입/PET)디즈니,170ML,16박스*11단=176박스,24,4224,BOX,329,218,129,5,최상단 변경 가능,보통
비타민음료,70777,광동비타500칼슘180ml(40入),180ML,8박스*8단=64박스,40,2560,BOX,470,295,170,15.8,변경 불가,보통
비타민음료,71346,비타500 ZERO 180ml(40입),180ML,8박스*8단=64박스,40,2560,BOX,470,295,170,15.8,변경 불가,보통
비타민음료,70877,비타500 아연180ml(40입),180ML,8박스*8단=64박스,40,2560,BOX,470,295,170,15.8,변경 불가,보통
비타민음료,71318,비타500캔 240ml(30입/11형),240ML,11스*11단=121박스,30,3630,BOX,330,270,135,8,변경 불가,보통
비타민음료,70786,비타500캔(F) 240ml(24입),240ML,13박스*11단=143박스,24,3432,BOX,330,220,145,6.5,최상단 변경 가능,보통
비타민음료,71326,비타500 ZERO 스파클링 유자(24입),250ML,13박스*11단=143박스,24,3432,BOX,330,220,145,6.648,최상단 변경 가능,보통
비타민음료,71302,비타500 ZERO 스파클링(24입),250ML,13박스*11단=143박스,24,3432,BOX,330,220,145,6.648,최상단 변경 가능,보통
비타민음료,70800,비타500스파클링(24입),250ML,13박스*11단=143박스,24,3432,BOX,330,220,145,6.648,최상단 변경 가능,보통
비타민음료,71317,비타500치어팩 250ml (30입/11형),250ML,8박스*8단=64박스,30,1920,BOX,455,260,165,8.7,변경 불가,취약
비타민음료,71324,비타500 ZERO 아이스 340ml (40입),340ML,8박스*6단=48박스,40,1920,BOX,580,245,230,13.6,변경 불가,취약
식품쌍화,71010,광동쌍화,100ML,10박스*4단=40박스,100,4000,BOX,480,240,260,24,변경 불가,보통
식품쌍화,70611,광동쌍화골드,100ML,10박스*4단=40박스,100,4000,BOX,480,240,260,24,변경 불가,보통
식품쌍화,70613,광동진쌍화,100ML,10박스*4단=40박스,100,4000,BOX,480,240,260,24,변경 불가,보통
